id,name,description,icon,metaTitle,metaDesc,createdAt,updatedAt,categoryId
access-control-suppliers,Access Control,"Access control is an electronic system that provides restriction of entry while authorizing only specific people to enter into a certain area. It is mainly keyless and utilize  biometrics, cards, barcodes, etc...",1624384642990.svg,"Access Control System Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum gives information about access control equipment suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore access control supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 17:57:22.000000,elv-electronics-suppliers
aggregate-suppliers,Aggregate,"Aggregate is made up of particulate material that is used in construction, such as sand, gravel, crushed stone, slag, recycled concrete and others.",1624384679830.svg,"Construction Aggregate Suppliers in UAE - Dubai, Abu Dhabi, Sharjah, & Ajman | Lumsum","Locate finest construction aggregate suppliers in Dubai, Abu Dhabi, Sharjah, & Ajman via Lumsum. Search & Explore aggregate supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 17:58:05.000000,road-works-material-suppliers
ahu-suppliers,AHU,"AHU or air handling unit, is a part of air-conditioning, ventilating or heating system and is used for air regulation and circulation.",1624384725231.svg,"AHU Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Explore Lumsum to obtain information about eminent AHU suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Find air handling unit supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 17:58:45.000000,hvac-suppliers
air-conditioner-suppliers,AC,"Air conditioning, often named AC, is the process of regulating air temperature and removing heat and moisture, and is usually used in residential and commercial areas.",1624384748172.svg,"Air Conditioner, AC Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","We at Lumsum provide detailed info about AC suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Explore AC supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 17:59:08.000000,hvac-suppliers
air-filter-suppliers,Air Filters,"An air filter is a device made up of fibrous or porous substance and is used to improve the quality of air by removing solid particles such as dust, mold, pollen, etc...",1624384779751.svg,"Air Filter Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","We at Lumsum provide complete info about air filter suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Explore air filter supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 17:59:39.000000,hvac-suppliers
aluminum-pvc-doors-windows-cabinets-suppliers,Aluminium & PVC,"Aluminum and PVC doors and windows are very durable and resistant to rot, meaning that they have a long lifespan and require very little maintenance.",1624384821693.svg,"Aluminium & PVC Doors, Windows & Cabinets Suppliers in UAE - Dubai, Abu Dhabi, Sharjah, & Ajman | Lumsum","Attain info about optimum aluminium & PVC doors, windows & cabinets suppliers in Dubai, Abu Dhabi, Sharjah, & Ajman. Search & Explore aluminium & PVC doors, windows & cabinets supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:00:21.000000,doors-windows-cabinets-suppliers
asphalt-bitumen-suppliers,Asphalt,"Asphalt is a blend of aggregates, binder and filler, used for constructing and maintaining roads, railway tracks, airport lanes, sidewalks and others.",1624384862738.svg,"Cold & Hot Mix Asphalt & Bitumen Suppliers in UAE - Dubai, Abu Dhabi, Sharjah, & Ajman | Lumsum","Discover extensive list of popular cold & hot mix asphalt & bitumen suppliers in Dubai, Abu Dhabi, Sharjah, & Ajman. Search & Explore asphalt & bitumen supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:01:02.000000,road-works-material-suppliers
audio-visual-equipment-suppliers,Audio visual,"Audiovisual devices are electronics that are used to present audiovisual media such as TV, projectors, videotapes, DVDs, CDs, etc…",1624384902551.svg,"Audio Visual Equipment Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Visit Lumsum to obtain information about audio visual solutions suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore AV equipment supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:01:42.000000,elv-electronics-suppliers
block-brick-suppliers,Blocks & Bricks,"Bricks and blocks are constituents of strong masonry construction that come in evenly shaped individual units. 
",1624384937709.svg,"Concrete Block & Brick Suppliers in UAE – Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Explore top concrete block & brick suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Browse complete list of block & brick supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:02:17.000000,building-material-suppliers
cable-management-suppliers,Cable Management,"Cable management is the organization of the electrical cables in a certain compartment to contain them and make any repair or changes to the cable system easier and more practical.
",1624384984080.svg,"Cable Management Systems Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Find leading cable management systems suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Browse entire list of cable management solutions companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:03:04.000000,electrical-suppliers
car-parking-shades-suppliers,Car Parking Shades,"Car shades, also known as windshield sun shades are UV protective shields placed on a car's windshield to prevent the sun from reaching the inside and causing a rise in temperature.",1624385026542.svg,"Car Parking Shades Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Get complete list of car parking shades suppliers in Dubai, Abu Dhabi, Sharjah & Ajman at Lumsum. Search & Explore car parking shades supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:03:47.000000,furniture-fittings-suppliers
cctv-camera-suppliers,CCTV,"CCTV,  or closed-circuit television, are video surveillance systems utilizing cameras to monitor a certain area.",1624385063674.svg,"CCTV Camera Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","We at Lumsum provide complete list of CCTV camera suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore CCTV equipment supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:04:23.000000,elv-electronics-suppliers
cement-suppliers,Cement,"Cement is a material used in construction that rests, hardens, and sticks to other substances to bind them together.",1624385091484.svg,"Bulk Cement Suppliers in UAE – Dubai, Abu Dhabi, Sharjah & Ajman  | Lumsum","Explore wholesale cement material suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Browse complete list of cement material companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:04:51.000000,building-material-suppliers
ceramic-suppliers,Ceramic,"Ceramic finishing are very popular in metal components due to being non-conductive, having a high level of abrasion resistance in addition to durability to high temperatures.",1610212227535.png,"Ceramic Tile Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides thorough list of ceramic tiles suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Know more about ceramic tiles supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-04-02 06:13:17.000000,finishing-material-suppliers
chiller-suppliers,Chiller,"A chiller is a device that works on eliminating heat from a liquid via a vapor-compression, adsorption refrigeration, or absorption refrigeration cycles.",1624385210296.svg,"Chiller Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Visit Lumsum to acquire information about chiller suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore chiller supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:06:50.000000,hvac-suppliers
cladding-suppliers,Cladding,"Cladding is the process of layering one material over another to form a skin or coat. It is often used in construction as a thermal insulator that resists weather and enhances the appearance of buildings.
",1624385251371.svg,"Aluminium, Timber, PVC & Wooden Cladding Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides complete list of aluminium, timber, PVC & wooden cladding suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Learn more about cladding supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:07:31.000000,finishing-material-suppliers
clean-agent-fire-suppression-system-suppliers,Clean Agent,"A clean agent is a type of material used in fire extinguishing which does not result in residue.
",1609505866464.png,"Clean Agent & FM200 Fire Suppression System in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides complete list of clean agent & FM200 fire suppression system suppliers in Dubai, Sharjah, Abu Dhabi & Ajman. Search & Explore clean agent fire supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-04-02 06:14:02.000000,fire-life-safety-equipment-suppliers
commercial-fans-suppliers,Fans,"A fan is an electric machine that consists of rotating blades and is used to create air flow or extract air in a space.
",1624385365602.svg,"Axial, Exhaust, Industrial & Commercial Fans Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","We at Lumsum provide precise info about axial, exhaust, industrial & commercial fans suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Explore fans supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:09:25.000000,hvac-suppliers
cradle-suppliers,Cradle,"Suspended platform cradle is a type of lifts applied to the exterior of a building and is mainly used in cleaning works, painting, cable installations and other maintenance activities.",1624385406720.svg,"Cradle Lift Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum is committed to providing information about cradle lift suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore cradle supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:10:06.000000,lifts-suppliers
crane-suppliers,Cranes,"A crane is a machine utilized in carrying heavy masses, loading and unloading of goods as well as in construction sites.",1624385538099.svg,"Crane Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum helps you to get prominent crane suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Find contact details of crane supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:12:18.000000,heavy-machinery-suppliers
duct-suppliers,Ducts,"Ducts are channels used for air delivery or removal and are often used in air-conditioning, heating and ventilation systems.",1624385685850.svg,"AC, Flexible & Spiral Duct Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides comprehensive listing of eminent AC, Flexible & Spiral Duct suppliers in Sharjah, Abu Dhabi & Ajman. Find air conditioning duct supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:14:45.000000,hvac-suppliers
dumb-waiter-suppliers,Dumb Waiter,"A garbage chute is a long vertical dumpster or bin in buildings that passes by each floor and has openings on each or alternate floors. A dumbwaiter is a small freight elevator or lift intended to carry food. 
",1624385915807.svg,"Dumb Waiter Lift Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides entire list of dumb waiter lift suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore dumb waiter supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:18:35.000000,lifts-suppliers
earthing-lightning-material-suppliers,Earthing & Lightning Protection,"The earthing and lightning protection system aims to disperse electricity from lightning to the ground to protect against the risk of an electric shock and is composed of lightning earthing terminals, roof conductors, down conductors, etc...",1624385959565.svg,"Earthing Material & Lightning Protection Equipment Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Find well-known earthing material & lightning protection equipment suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Browse list of earthing & lightning equipment supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:19:19.000000,electrical-suppliers
ecology-units-suppliers,Ecology Units,"Ecology unit is a key component of the ventilation system that helps in removing all odors and effluents discharged from kitchens, especially commercial ones.",1624386012295.svg,"Ecology Units Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides comprehensive listing of eminent ecology units suppliers in Sharjah, Abu Dhabi & Ajman. Discover ecology units supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:20:12.000000,hvac-suppliers
elevator-suppliers,Elevators,"A lift (or elevator) is a form of vertical transportation between building floors, levels or decks.",1624386052558.svg,"Elevators Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","At Lumsum, we offer exceptional list of elevator suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore elevator supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:20:52.000000,lifts-suppliers
emergency-exit-light-suppliers,Emergency & Exit lights,"Emergency/exit lights are designed to guide people to quickly locate the exits during an emergency.
",1624386149905.svg,"Emergency & Exit Light Suppliers in UAE – Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides complete list of emergency & exit light suppliers in Dubai, Sharjah, Abu Dhabi & Ajman. Search & Explore emergency & exit light supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:22:29.000000,fire-life-safety-equipment-suppliers
entertainment-playground-equipments-suppliers,Entertainment,"Entertainment equipment are house devices used for leisure such are stereos, speakers, house theater equipment, video game consoles, televisions, DVD decks and more.",1624386202415.svg,"Entertainment & Playground Equipment Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Get info about entertainment & playground equipment suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore entertainment & play equipment supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:23:22.000000,furniture-fittings-suppliers
escalator-suppliers,Escalator,"An escalator is a moving staircase that carries people between floors of a building.
",1624386239563.svg,"Escalator Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Visit Lumsum to get info about escalator suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore escalator supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:23:59.000000,lifts-suppliers
fence-fencing-suppliers,Fence,"A fence is a structure that contains an area, typically outdoors, and is usually made up of posts that are connected by boards, wire, rails or netting.",1624386278285.svg,"Fence & Fencing Suppliers in UAE - Dubai, Abu Dhabi, Sharjah, & Ajman | Lumsum","Browse complete list of fence & fencing suppliers in Dubai, Abu Dhabi, Sharjah, & Ajman. Search & Explore fencing supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:24:38.000000,landscape-pool-suppliers
fire-alarm-suppliers,Fire Alarm,A fire alarm is a device that detects smoke and fire and warns individuals through visual or audio alerts.,1624386312452.svg,"Fire Alarm System Suppliers in UAE – Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides complete list of fire alarm system suppliers in Dubai, Sharjah, Abu Dhabi & Ajman. Search & Explore fire alarm equipment supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:25:12.000000,fire-life-safety-equipment-suppliers
fire-fighting-equipment-suppliers,Fire Fighting,A fire fighting system is a group of tools used to prevent and extinguish fires in closed areas.,1624386339571.svg,"Fire Fighting Equipment & Extinguishers Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman| Lumsum","Lumsum provides complete list of fire fighting equipment & extinguishers suppliers in Dubai, Sharjah, Abu Dhabi & Ajman. Search & Explore fire fighting system supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:25:39.000000,fire-life-safety-equipment-suppliers
fire-rated-cables-suppliers,Fire Rated Cables,Fire rated cables are fire-resistant cables that tolerate combustion and secure power supply during a fire.,1624386476342.svg,"Fire Rated Cables Suppliers in UAE – Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides complete list of fire rated cable suppliers in Dubai, Sharjah, Abu Dhabi & Ajman. Search & Explore fire resistant cable supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:27:56.000000,fire-life-safety-equipment-suppliers
fire-rated-doors-suppliers,Fire Rated Doors,"Fire rated doors are fire-resistant doors used to contain fire and limit the spread of fire and smoke in a certain area.
",1624386505017.svg,"Fire Rated Doors Suppliers in UAE – Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides complete list of fire rated doors suppliers in Dubai, Sharjah, Abu Dhabi & Ajman. Search & Explore fire rated wooden doors supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:28:25.000000,fire-life-safety-equipment-suppliers
flooring-suppliers,Flooring,"Flooring is the process of installation of a floor covering using different material such as timber, porcelain, ceramic, natural stone, vinyl, laminate and more.",1624386540887.svg,"Vinyl, Rubber & Raised Flooring Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides thorough list of vinyl, rubber & raised flooring suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Know more about flooring supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:29:00.000000,finishing-material-suppliers
formwork-suppliers,Formwork,Formwork are temporary or permanent molds that are filled with concrete or similar substances.,1624386583787.svg,"Formwork Material Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Explore well-known formwork material suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Browse complete list of formwork supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:29:43.000000,building-material-suppliers
furnishings-upholstery-textile-suppliers,Furnishings Textiles & Upholstery,"Furniture are movable objects used to cover the individual's main activities at home such as seating, eating, and sleeping. Upholstery textiles/fabric, cover the furniture to guarantee their longevity including linen, cotton, leather, velvet and more.",1624386623407.svg,"Textile, Furnishing & Upholstery Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Get info about textile, home & hotel furnishing and upholstery material suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore textile, furnishing & upholstery supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:30:23.000000,furniture-fittings-suppliers
generator-suppliers,Generators,"A generator is a device that converts mechanical or chemical energy into electrical energy for transmission and distribution.
",1624386655068.svg,"Generator Suppliers in UAE – Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Find distinguished generator suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Browse list of diesel generator supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 18:30:55.000000,electrical-suppliers
granite-suppliers,Granite,"a very hard, granular, crystalline, igneous rock consisting mainly of quartz, mica, and feldspar and often used as a building stone. Usually used for countertops and tables.",1610214254248.jpg,"Granite Suppliers in UAE - Dubai, Sharjah, Abu Dhabi & Ajman | Lumsum","Discover extensive list of granite suppliers in Dubai, Sharjah, Abu Dhabi & Ajman. Search & Explore granite supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-04-02 06:48:03.000000,finishing-material-suppliers
gypsum-suppliers,Gypsum,"Gypsum finishes give walls and ceilings a smoother surface that is ready for paint application. It is popular for its easy usage and preparation in comparison to other materials such as cement.
",1624388879641.svg,"Gypsum Board & Powder Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides extensive list of gypsum board & powder suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Read more about gypsum supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-22 19:08:02.000000,finishing-material-suppliers
hand-tools-suppliers,Hand Tools,"Hand tools come in different types and for different usages including hammers, screwdrivers, cutters, drills, clamps, wrenches, saws, pliers and more.",1624469348785.svg,"Hand Tools Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum provides detailed list of top hand tools suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Discover contact details of industrial hand tools supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-23 17:29:08.000000,tools-suppliers
handicap-lifts-suppliers,Handicap Lifts,"A handicap lift is a fully powered device designed to raise a wheelchair and its occupant in order to overcome a step or similar vertical barrier.
",1624469381085.svg,"Handicap & Wheelchair Lifts Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","We at Lumsum offer extensive list of handicap & wheelchair suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Search & Explore handicap & wheelchair supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-23 17:29:41.000000,lifts-suppliers
hardscape-suppliers,Hardscape,"Hardscape construction encompasses all the non-living elements of a landscape such as brick patios, stone walkways, gravel pathways, water features, metal fences and more.",1624469397406.svg,"Hardscape Material Suppliers in UAE - Dubai, Abu Dhabi, Sharjah, & Ajman | Lumsum","At Lumsum, we offer notable list of hardscape material suppliers in Dubai, Abu Dhabi, Sharjah, & Ajman. Search & Explore hardscape supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-23 17:29:57.000000,road-works-material-suppliers
heavy-vehicles-suppliers,Heavy Vehicles,"Heavy-duty vehicles are mainly used to support construction activities. They include bulldozers, front loaders, concrete mixer trucks, trenchers, graders and more.",1624469518310.svg,"Rental Heavy Vehicles & Trucks Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Lumsum assists you to get the best rental heavy vehicles & truck suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Explore contact details of vehicle supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-23 17:31:58.000000,heavy-machinery-suppliers
hvac-accessories-suppliers,HVAC Accessories,"HVAC accessories include smart thermostats, energy recovery ventilators, air purifiers, UV air cleaners, dehumidifiers, copper pipes, insulation etc...",1624469588060.svg,"HVAC Accessories Suppliers in UAE - Dubai, Abu Dhabi, Sharjah & Ajman | Lumsum","Explore Lumsum to obtain information about well-known HVAC accessories suppliers in Dubai, Abu Dhabi, Sharjah & Ajman. Find HVAC accessories supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-23 17:33:08.000000,hvac-suppliers
industrial-lifts-suppliers,Industrial Lifts,"Construction lifts come in different types including forklifts, boom lifts, scissor lifts and others. They act as a powerful tool that assists in moving materials and lifting the crew to hard-to-reach locations.",1624469659328.svg,"Industrial Lifts Suppliers in UAE - Dubai, Sharjah, Abu Dhabi & Ajman | Lumsum","Lumsum assists you to get the finest industrial lifts suppliers in Dubai, Sharjah, Abu Dhabi & Ajman. Get contact details of industrial lifts supplier companies near you & across UAE.",2021-02-27 08:56:15.367000,2021-06-23 17:34:19.000000,heavy-machinery-suppliers
